id_association,code_barre_ean_principal,code_barre_ean_associe_mdd,nom_produit_principal,nom_produit_mdd_associe,indice_confiance_association_pct,hausse_ticket_moyen_projete_pct,offre_bundle_recommandee
XSELL-0236,368575939418,333000663632,Céréales Gourmandes Danone #1156,Sauce Tomate Basilic Repère #4175,85.6,10.3,Offre Duo : -30% sur Sauce Tomate Basilic Repère #4175 (MDD) à l'achat de Céréales Gourmandes Danone #1156
XSELL-0237,398285428727,359012516690,Fromage Fondu Repère #2449,Sauce Tomate Basilic Bio #2082,76.4,8.5,Offre Duo : -30% sur Sauce Tomate Basilic Bio #2082 (MDD) à l'achat de Fromage Fondu Repère #2449
XSELL-0238,315573387332,388527813406,Céréales Gourmandes Danone #1883,Jus d'Orange Pur Jus Bio #304,68.9,10.5,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #304 (MDD) à l'achat de Céréales Gourmandes Danone #1883
XSELL-0239,381596186006,328603148811,Plat Cuisiné Lasagnes Repère #2309,Céréales Gourmandes Repère #2696,70.5,6.1,Offre Duo : -30% sur Céréales Gourmandes Repère #2696 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #2309
XSELL-0240,369615355045,348519259045,Biscuits Chocolat Danone #964,Jus d'Orange Pur Jus Bio #4301,88.7,13.7,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #4301 (MDD) à l'achat de Biscuits Chocolat Danone #964
XSELL-0241,317989741808,360801479354,Céréales Gourmandes Repère #376,Plat Cuisiné Lasagnes Gourmet #2260,69.3,10.1,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #2260 (MDD) à l'achat de Céréales Gourmandes Repère #376
XSELL-0242,383514012961,359263040924,Jus d'Orange Pur Jus Nestlé #1074,Jus d'Orange Pur Jus Gourmet #226,92.6,12.6,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #226 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #1074
XSELL-0243,382956416554,348251891855,Pâte à Tartiner Repère #558,Céréales Gourmandes Bio #920,73.3,9.1,Offre Duo : -30% sur Céréales Gourmandes Bio #920 (MDD) à l'achat de Pâte à Tartiner Repère #558
XSELL-0244,340432920998,341664488580,Sauce Tomate Basilic Danone #305,Fromage Fondu Gourmet #2250,66.2,5.8,Offre Duo : -30% sur Fromage Fondu Gourmet #2250 (MDD) à l'achat de Sauce Tomate Basilic Danone #305
XSELL-0245,378037407470,324431530212,Plat Cuisiné Lasagnes Danone #3640,Pain de Mie Bio Bio #2652,66.0,12.4,Offre Duo : -30% sur Pain de Mie Bio Bio #2652 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #3640
XSELL-0246,344565039683,366778018632,Yaourt Fraise Danone #3913,Jus d'Orange Pur Jus Gourmet #220,67.0,11.0,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #220 (MDD) à l'achat de Yaourt Fraise Danone #3913
XSELL-0247,379191204967,366495235323,Fromage Fondu Nestlé #3093,Yaourt Fraise Repère #4391,84.3,13.6,Offre Duo : -30% sur Yaourt Fraise Repère #4391 (MDD) à l'achat de Fromage Fondu Nestlé #3093
XSELL-0248,349554061072,386347627712,Pain de Mie Bio Nestlé #4405,Céréales Gourmandes Repère #3776,85.9,5.2,Offre Duo : -30% sur Céréales Gourmandes Repère #3776 (MDD) à l'achat de Pain de Mie Bio Nestlé #4405
XSELL-0249,387817092224,394819281635,Jambon Supérieur Nestlé #4201,Plat Cuisiné Lasagnes Bio #1172,79.1,14.1,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #1172 (MDD) à l'achat de Jambon Supérieur Nestlé #4201
XSELL-0250,334585793111,361577234051,Yaourt Fraise Danone #1184,Pain de Mie Bio Repère #446,88.0,6.2,Offre Duo : -30% sur Pain de Mie Bio Repère #446 (MDD) à l'achat de Yaourt Fraise Danone #1184
XSELL-0251,392281329407,383195644382,Sauce Tomate Basilic Nestlé #3301,Sauce Tomate Basilic Repère #3741,91.8,12.4,Offre Duo : -30% sur Sauce Tomate Basilic Repère #3741 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3301
XSELL-0252,386355729637,359483146231,Biscuits Chocolat Danone #420,Pain de Mie Bio Gourmet #1635,84.0,12.4,Offre Duo : -30% sur Pain de Mie Bio Gourmet #1635 (MDD) à l'achat de Biscuits Chocolat Danone #420
XSELL-0253,382142339316,349542218973,Sauce Tomate Basilic Nestlé #3735,Jambon Supérieur Repère #2103,69.5,4.7,Offre Duo : -30% sur Jambon Supérieur Repère #2103 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3735
XSELL-0254,359790665880,383396716336,Pain de Mie Bio Nestlé #4176,Fromage Fondu Gourmet #4035,74.9,12.0,Offre Duo : -30% sur Fromage Fondu Gourmet #4035 (MDD) à l'achat de Pain de Mie Bio Nestlé #4176
XSELL-0255,335544918890,387478804417,Fromage Fondu Repère #1016,Fromage Fondu Gourmet #2503,79.7,4.6,Offre Duo : -30% sur Fromage Fondu Gourmet #2503 (MDD) à l'achat de Fromage Fondu Repère #1016
XSELL-0256,368227770513,326531182506,Fromage Fondu Repère #3669,Biscuits Chocolat Repère #328,73.7,10.9,Offre Duo : -30% sur Biscuits Chocolat Repère #328 (MDD) à l'achat de Fromage Fondu Repère #3669
XSELL-0257,375458678072,382504917187,Céréales Gourmandes Danone #1991,Pâte à Tartiner Bio #14,70.4,9.6,Offre Duo : -30% sur Pâte à Tartiner Bio #14 (MDD) à l'achat de Céréales Gourmandes Danone #1991
XSELL-0258,355108456028,320999731915,Biscuits Chocolat Repère #1801,Céréales Gourmandes Repère #335,74.3,5.7,Offre Duo : -30% sur Céréales Gourmandes Repère #335 (MDD) à l'achat de Biscuits Chocolat Repère #1801
XSELL-0259,372232599800,388620457723,Fromage Fondu Danone #1238,Pâte à Tartiner Bio #68,82.2,5.6,Offre Duo : -30% sur Pâte à Tartiner Bio #68 (MDD) à l'achat de Fromage Fondu Danone #1238
XSELL-0260,373758963355,345103046200,Jus d'Orange Pur Jus Nestlé #2473,Jambon Supérieur Gourmet #2074,75.0,7.5,Offre Duo : -30% sur Jambon Supérieur Gourmet #2074 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #2473
XSELL-0261,376025513080,387229982383,Pain de Mie Bio Danone #1548,Pâte à Tartiner Repère #907,82.9,7.8,Offre Duo : -30% sur Pâte à Tartiner Repère #907 (MDD) à l'achat de Pain de Mie Bio Danone #1548
XSELL-0262,360530914391,329917166625,Jus d'Orange Pur Jus Danone #4004,Céréales Gourmandes Gourmet #289,84.3,14.0,Offre Duo : -30% sur Céréales Gourmandes Gourmet #289 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #4004
XSELL-0263,313677216777,396539631260,Céréales Gourmandes Nestlé #2244,Pain de Mie Bio Repère #3442,93.4,8.0,Offre Duo : -30% sur Pain de Mie Bio Repère #3442 (MDD) à l'achat de Céréales Gourmandes Nestlé #2244
XSELL-0264,320504345607,376632764015,Jambon Supérieur Danone #1415,Biscuits Chocolat Gourmet #3267,84.0,5.2,Offre Duo : -30% sur Biscuits Chocolat Gourmet #3267 (MDD) à l'achat de Jambon Supérieur Danone #1415
XSELL-0265,331957700469,312244376523,Yaourt Fraise Repère #1009,Pain de Mie Bio Gourmet #1541,66.0,13.8,Offre Duo : -30% sur Pain de Mie Bio Gourmet #1541 (MDD) à l'achat de Yaourt Fraise Repère #1009
XSELL-0266,340149701121,314389382303,Biscuits Chocolat Nestlé #572,Jambon Supérieur Bio #3130,82.6,13.7,Offre Duo : -30% sur Jambon Supérieur Bio #3130 (MDD) à l'achat de Biscuits Chocolat Nestlé #572
XSELL-0267,361765286254,372830508374,Pâte à Tartiner Danone #4159,Jambon Supérieur Repère #2748,66.3,10.0,Offre Duo : -30% sur Jambon Supérieur Repère #2748 (MDD) à l'achat de Pâte à Tartiner Danone #4159
XSELL-0268,367971816950,353272262832,Sauce Tomate Basilic Danone #350,Jambon Supérieur Repère #1731,86.1,13.4,Offre Duo : -30% sur Jambon Supérieur Repère #1731 (MDD) à l'achat de Sauce Tomate Basilic Danone #350
XSELL-0269,321544338076,373912194418,Jambon Supérieur Repère #2546,Céréales Gourmandes Bio #2667,88.2,12.7,Offre Duo : -30% sur Céréales Gourmandes Bio #2667 (MDD) à l'achat de Jambon Supérieur Repère #2546
XSELL-0270,370516824678,399184268111,Pain de Mie Bio Repère #486,Biscuits Chocolat Bio #1752,89.4,13.9,Offre Duo : -30% sur Biscuits Chocolat Bio #1752 (MDD) à l'achat de Pain de Mie Bio Repère #486
XSELL-0271,358920270438,310074162158,Yaourt Fraise Danone #1876,Pain de Mie Bio Gourmet #1969,82.3,13.6,Offre Duo : -30% sur Pain de Mie Bio Gourmet #1969 (MDD) à l'achat de Yaourt Fraise Danone #1876
XSELL-0272,369963812029,359538663990,Yaourt Fraise Repère #2474,Yaourt Fraise Gourmet #4243,85.9,8.1,Offre Duo : -30% sur Yaourt Fraise Gourmet #4243 (MDD) à l'achat de Yaourt Fraise Repère #2474
XSELL-0273,395289697210,347753326596,Pâte à Tartiner Nestlé #3861,Fromage Fondu Repère #1849,90.3,6.8,Offre Duo : -30% sur Fromage Fondu Repère #1849 (MDD) à l'achat de Pâte à Tartiner Nestlé #3861
XSELL-0274,398282439884,391567075562,Sauce Tomate Basilic Danone #3298,Sauce Tomate Basilic Repère #1444,72.9,7.4,Offre Duo : -30% sur Sauce Tomate Basilic Repère #1444 (MDD) à l'achat de Sauce Tomate Basilic Danone #3298
XSELL-0275,387979278032,337702354534,Yaourt Fraise Danone #1320,Jus d'Orange Pur Jus Bio #619,68.6,6.0,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #619 (MDD) à l'achat de Yaourt Fraise Danone #1320
XSELL-0276,345766099526,375837996874,Biscuits Chocolat Danone #3209,Céréales Gourmandes Gourmet #4009,92.3,9.8,Offre Duo : -30% sur Céréales Gourmandes Gourmet #4009 (MDD) à l'achat de Biscuits Chocolat Danone #3209
XSELL-0277,376151742122,382938594597,Jambon Supérieur Repère #677,Fromage Fondu Gourmet #4492,92.0,4.7,Offre Duo : -30% sur Fromage Fondu Gourmet #4492 (MDD) à l'achat de Jambon Supérieur Repère #677
XSELL-0278,326174674281,345890598787,Plat Cuisiné Lasagnes Repère #1839,Yaourt Fraise Repère #3183,66.5,8.4,Offre Duo : -30% sur Yaourt Fraise Repère #3183 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #1839
XSELL-0279,376186866976,374979502505,Plat Cuisiné Lasagnes Nestlé #213,Fromage Fondu Bio #841,66.4,9.4,Offre Duo : -30% sur Fromage Fondu Bio #841 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #213
XSELL-0280,354746390338,346706433185,Biscuits Chocolat Nestlé #3932,Plat Cuisiné Lasagnes Gourmet #1427,68.4,6.5,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #1427 (MDD) à l'achat de Biscuits Chocolat Nestlé #3932
XSELL-0281,385929435445,312244376523,Céréales Gourmandes Repère #1196,Pain de Mie Bio Gourmet #1541,78.5,7.1,Offre Duo : -30% sur Pain de Mie Bio Gourmet #1541 (MDD) à l'achat de Céréales Gourmandes Repère #1196
XSELL-0282,362098204055,314478770710,Céréales Gourmandes Nestlé #848,Biscuits Chocolat Gourmet #2317,85.3,9.3,Offre Duo : -30% sur Biscuits Chocolat Gourmet #2317 (MDD) à l'achat de Céréales Gourmandes Nestlé #848
XSELL-0283,371935483724,373910038947,Yaourt Fraise Repère #919,Biscuits Chocolat Bio #156,75.1,13.2,Offre Duo : -30% sur Biscuits Chocolat Bio #156 (MDD) à l'achat de Yaourt Fraise Repère #919
XSELL-0284,348939582405,328000225207,Jus d'Orange Pur Jus Nestlé #1823,Fromage Fondu Repère #4275,73.7,14.1,Offre Duo : -30% sur Fromage Fondu Repère #4275 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #1823
XSELL-0285,372832703028,348922234573,Pâte à Tartiner Repère #3792,Pâte à Tartiner Gourmet #1224,92.4,10.7,Offre Duo : -30% sur Pâte à Tartiner Gourmet #1224 (MDD) à l'achat de Pâte à Tartiner Repère #3792
XSELL-0286,382142339316,365303412140,Sauce Tomate Basilic Nestlé #3735,Sauce Tomate Basilic Gourmet #716,86.6,6.5,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #716 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3735
XSELL-0287,371281210807,367046940931,Biscuits Chocolat Repère #2566,Jambon Supérieur Gourmet #663,78.1,14.1,Offre Duo : -30% sur Jambon Supérieur Gourmet #663 (MDD) à l'achat de Biscuits Chocolat Repère #2566
XSELL-0288,360204239631,386381369439,Jambon Supérieur Nestlé #4359,Plat Cuisiné Lasagnes Gourmet #3882,91.3,13.1,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #3882 (MDD) à l'achat de Jambon Supérieur Nestlé #4359
XSELL-0289,399469472953,351364184833,Pain de Mie Bio Nestlé #50,Plat Cuisiné Lasagnes Gourmet #4384,90.6,6.0,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #4384 (MDD) à l'achat de Pain de Mie Bio Nestlé #50
XSELL-0290,335274840278,352458345586,Jus d'Orange Pur Jus Repère #1725,Sauce Tomate Basilic Repère #2302,90.4,5.4,Offre Duo : -30% sur Sauce Tomate Basilic Repère #2302 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #1725
XSELL-0291,395106439640,398746990124,Sauce Tomate Basilic Repère #3187,Plat Cuisiné Lasagnes Repère #3059,67.9,13.4,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #3059 (MDD) à l'achat de Sauce Tomate Basilic Repère #3187
XSELL-0292,381935793781,310876629857,Sauce Tomate Basilic Danone #3461,Pâte à Tartiner Bio #217,91.8,13.5,Offre Duo : -30% sur Pâte à Tartiner Bio #217 (MDD) à l'achat de Sauce Tomate Basilic Danone #3461
XSELL-0293,353655046509,347503513249,Jambon Supérieur Nestlé #3765,Fromage Fondu Gourmet #639,76.9,6.8,Offre Duo : -30% sur Fromage Fondu Gourmet #639 (MDD) à l'achat de Jambon Supérieur Nestlé #3765
XSELL-0294,381957025882,335027222922,Jus d'Orange Pur Jus Repère #2749,Céréales Gourmandes Repère #3066,80.5,13.1,Offre Duo : -30% sur Céréales Gourmandes Repère #3066 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #2749
XSELL-0295,314929851730,343205525614,Fromage Fondu Repère #2382,Biscuits Chocolat Bio #508,91.6,13.8,Offre Duo : -30% sur Biscuits Chocolat Bio #508 (MDD) à l'achat de Fromage Fondu Repère #2382
XSELL-0296,312646052403,343960855589,Fromage Fondu Repère #2314,Fromage Fondu Gourmet #1653,71.0,10.6,Offre Duo : -30% sur Fromage Fondu Gourmet #1653 (MDD) à l'achat de Fromage Fondu Repère #2314
XSELL-0297,394957464424,317539005689,Pâte à Tartiner Nestlé #511,Yaourt Fraise Repère #1403,69.8,6.5,Offre Duo : -30% sur Yaourt Fraise Repère #1403 (MDD) à l'achat de Pâte à Tartiner Nestlé #511
XSELL-0298,369963812029,391973377587,Yaourt Fraise Repère #2474,Jus d'Orange Pur Jus Bio #1018,92.5,8.4,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #1018 (MDD) à l'achat de Yaourt Fraise Repère #2474
XSELL-0299,353922639962,352426596398,Plat Cuisiné Lasagnes Danone #2604,Sauce Tomate Basilic Bio #3519,83.8,13.3,Offre Duo : -30% sur Sauce Tomate Basilic Bio #3519 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #2604
XSELL-0300,367149474282,351240302450,Fromage Fondu Danone #137,Fromage Fondu Repère #2953,78.3,7.8,Offre Duo : -30% sur Fromage Fondu Repère #2953 (MDD) à l'achat de Fromage Fondu Danone #137
XSELL-0301,396459405894,394101502401,Pain de Mie Bio Nestlé #1491,Sauce Tomate Basilic Repère #3848,68.6,8.6,Offre Duo : -30% sur Sauce Tomate Basilic Repère #3848 (MDD) à l'achat de Pain de Mie Bio Nestlé #1491
XSELL-0302,360396579173,318394352076,Jus d'Orange Pur Jus Repère #769,Jus d'Orange Pur Jus Bio #4310,74.8,13.1,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #4310 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #769
XSELL-0303,340971844209,391486856663,Pain de Mie Bio Nestlé #227,Biscuits Chocolat Bio #2324,65.1,5.2,Offre Duo : -30% sur Biscuits Chocolat Bio #2324 (MDD) à l'achat de Pain de Mie Bio Nestlé #227
XSELL-0304,383539848896,335726062379,Céréales Gourmandes Nestlé #255,Yaourt Fraise Gourmet #3036,78.8,7.5,Offre Duo : -30% sur Yaourt Fraise Gourmet #3036 (MDD) à l'achat de Céréales Gourmandes Nestlé #255
XSELL-0305,378215214306,345375180603,Biscuits Chocolat Nestlé #3532,Plat Cuisiné Lasagnes Bio #1349,83.6,6.5,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #1349 (MDD) à l'achat de Biscuits Chocolat Nestlé #3532
XSELL-0306,369963812029,373910038947,Yaourt Fraise Repère #2474,Biscuits Chocolat Bio #156,71.6,7.5,Offre Duo : -30% sur Biscuits Chocolat Bio #156 (MDD) à l'achat de Yaourt Fraise Repère #2474
XSELL-0307,384636063886,322454323584,Plat Cuisiné Lasagnes Danone #2262,Jambon Supérieur Bio #25,73.6,11.9,Offre Duo : -30% sur Jambon Supérieur Bio #25 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #2262
XSELL-0308,328430979377,343267668085,Fromage Fondu Danone #2974,Jambon Supérieur Bio #4469,83.6,9.0,Offre Duo : -30% sur Jambon Supérieur Bio #4469 (MDD) à l'achat de Fromage Fondu Danone #2974
XSELL-0309,384902595589,346199404573,Biscuits Chocolat Repère #1579,Jambon Supérieur Repère #1810,85.1,10.6,Offre Duo : -30% sur Jambon Supérieur Repère #1810 (MDD) à l'achat de Biscuits Chocolat Repère #1579
XSELL-0310,316894578719,312130900117,Céréales Gourmandes Repère #2839,Plat Cuisiné Lasagnes Gourmet #2417,65.9,13.3,Offre Duo : -30% sur Plat Cuisiné Lasagnes Gourmet #2417 (MDD) à l'achat de Céréales Gourmandes Repère #2839
XSELL-0311,357042664750,348682052389,Pain de Mie Bio Danone #1131,Céréales Gourmandes Repère #2900,81.2,11.3,Offre Duo : -30% sur Céréales Gourmandes Repère #2900 (MDD) à l'achat de Pain de Mie Bio Danone #1131
XSELL-0312,320849224189,341908354223,Pâte à Tartiner Danone #2511,Jus d'Orange Pur Jus Repère #604,71.4,5.1,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #604 (MDD) à l'achat de Pâte à Tartiner Danone #2511
XSELL-0313,361992068884,318662038549,Yaourt Fraise Repère #1261,Céréales Gourmandes Gourmet #817,87.6,11.9,Offre Duo : -30% sur Céréales Gourmandes Gourmet #817 (MDD) à l'achat de Yaourt Fraise Repère #1261
XSELL-0314,365027512014,338329022684,Jambon Supérieur Nestlé #2209,Sauce Tomate Basilic Bio #4232,92.4,11.9,Offre Duo : -30% sur Sauce Tomate Basilic Bio #4232 (MDD) à l'achat de Jambon Supérieur Nestlé #2209
XSELL-0315,399133109357,372579719139,Sauce Tomate Basilic Repère #2570,Pâte à Tartiner Repère #3928,93.5,8.5,Offre Duo : -30% sur Pâte à Tartiner Repère #3928 (MDD) à l'achat de Sauce Tomate Basilic Repère #2570
XSELL-0316,311790342346,340165329305,Jus d'Orange Pur Jus Danone #4043,Fromage Fondu Bio #4014,88.8,11.0,Offre Duo : -30% sur Fromage Fondu Bio #4014 (MDD) à l'achat de Jus d'Orange Pur Jus Danone #4043
XSELL-0317,361765286254,382177310866,Pâte à Tartiner Danone #4159,Jambon Supérieur Gourmet #205,92.5,6.8,Offre Duo : -30% sur Jambon Supérieur Gourmet #205 (MDD) à l'achat de Pâte à Tartiner Danone #4159
XSELL-0318,371525585122,378246326417,Pâte à Tartiner Danone #4031,Jus d'Orange Pur Jus Gourmet #998,72.4,10.3,Offre Duo : -30% sur Jus d'Orange Pur Jus Gourmet #998 (MDD) à l'achat de Pâte à Tartiner Danone #4031
XSELL-0319,353545499345,346598725710,Pain de Mie Bio Repère #3681,Pain de Mie Bio Bio #2396,85.5,12.3,Offre Duo : -30% sur Pain de Mie Bio Bio #2396 (MDD) à l'achat de Pain de Mie Bio Repère #3681
XSELL-0320,318233167779,394366899598,Jus d'Orange Pur Jus Repère #13,Jus d'Orange Pur Jus Repère #3518,74.6,11.9,Offre Duo : -30% sur Jus d'Orange Pur Jus Repère #3518 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #13
XSELL-0321,332783462687,394778618502,Sauce Tomate Basilic Nestlé #3956,Sauce Tomate Basilic Repère #3389,72.6,6.6,Offre Duo : -30% sur Sauce Tomate Basilic Repère #3389 (MDD) à l'achat de Sauce Tomate Basilic Nestlé #3956
XSELL-0322,360880049265,356192837665,Biscuits Chocolat Danone #2258,Céréales Gourmandes Bio #3599,86.6,9.5,Offre Duo : -30% sur Céréales Gourmandes Bio #3599 (MDD) à l'achat de Biscuits Chocolat Danone #2258
XSELL-0323,371106977012,398275063624,Jambon Supérieur Repère #2210,Pâte à Tartiner Repère #2377,84.8,8.5,Offre Duo : -30% sur Pâte à Tartiner Repère #2377 (MDD) à l'achat de Jambon Supérieur Repère #2210
XSELL-0324,348939582405,372986333245,Jus d'Orange Pur Jus Nestlé #1823,Plat Cuisiné Lasagnes Repère #792,75.9,11.6,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #792 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #1823
XSELL-0325,383146117594,354895825135,Plat Cuisiné Lasagnes Danone #3740,Plat Cuisiné Lasagnes Bio #3782,68.5,7.4,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #3782 (MDD) à l'achat de Plat Cuisiné Lasagnes Danone #3740
XSELL-0326,313251592659,316501801594,Fromage Fondu Nestlé #2738,Yaourt Fraise Repère #3338,91.6,5.9,Offre Duo : -30% sur Yaourt Fraise Repère #3338 (MDD) à l'achat de Fromage Fondu Nestlé #2738
XSELL-0327,350568040380,366408640874,Pâte à Tartiner Danone #3175,Sauce Tomate Basilic Gourmet #4423,71.3,7.5,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #4423 (MDD) à l'achat de Pâte à Tartiner Danone #3175
XSELL-0328,336888351829,341499382055,Biscuits Chocolat Nestlé #176,Biscuits Chocolat Repère #972,86.5,12.2,Offre Duo : -30% sur Biscuits Chocolat Repère #972 (MDD) à l'achat de Biscuits Chocolat Nestlé #176
XSELL-0329,311855182380,320564566692,Plat Cuisiné Lasagnes Nestlé #264,Fromage Fondu Bio #3189,73.7,5.3,Offre Duo : -30% sur Fromage Fondu Bio #3189 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #264
XSELL-0330,332968636744,399444143997,Pain de Mie Bio Danone #3841,Sauce Tomate Basilic Gourmet #443,79.7,8.9,Offre Duo : -30% sur Sauce Tomate Basilic Gourmet #443 (MDD) à l'achat de Pain de Mie Bio Danone #3841
XSELL-0331,363299256955,352693215994,Jus d'Orange Pur Jus Nestlé #444,Pâte à Tartiner Gourmet #1202,88.6,7.4,Offre Duo : -30% sur Pâte à Tartiner Gourmet #1202 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #444
XSELL-0332,338072185043,310697881385,Pain de Mie Bio Nestlé #2419,Jambon Supérieur Repère #1230,71.9,9.5,Offre Duo : -30% sur Jambon Supérieur Repère #1230 (MDD) à l'achat de Pain de Mie Bio Nestlé #2419
XSELL-0333,368352494317,331572924063,Fromage Fondu Nestlé #1178,Jambon Supérieur Gourmet #129,78.4,10.9,Offre Duo : -30% sur Jambon Supérieur Gourmet #129 (MDD) à l'achat de Fromage Fondu Nestlé #1178
XSELL-0334,355743181731,397737857971,Jus d'Orange Pur Jus Nestlé #4456,Plat Cuisiné Lasagnes Repère #1180,84.3,13.8,Offre Duo : -30% sur Plat Cuisiné Lasagnes Repère #1180 (MDD) à l'achat de Jus d'Orange Pur Jus Nestlé #4456
XSELL-0335,310841628451,388620457723,Biscuits Chocolat Nestlé #3373,Pâte à Tartiner Bio #68,82.5,13.9,Offre Duo : -30% sur Pâte à Tartiner Bio #68 (MDD) à l'achat de Biscuits Chocolat Nestlé #3373
XSELL-0336,399265640241,318458591019,Sauce Tomate Basilic Danone #2644,Fromage Fondu Gourmet #2516,78.1,5.0,Offre Duo : -30% sur Fromage Fondu Gourmet #2516 (MDD) à l'achat de Sauce Tomate Basilic Danone #2644
XSELL-0337,389945028297,388528956620,Sauce Tomate Basilic Danone #4067,Jambon Supérieur Bio #3922,75.0,5.3,Offre Duo : -30% sur Jambon Supérieur Bio #3922 (MDD) à l'achat de Sauce Tomate Basilic Danone #4067
XSELL-0338,387310161541,395685937235,Yaourt Fraise Danone #214,Pain de Mie Bio Gourmet #107,91.2,9.0,Offre Duo : -30% sur Pain de Mie Bio Gourmet #107 (MDD) à l'achat de Yaourt Fraise Danone #214
XSELL-0339,394155434538,312234363148,Pain de Mie Bio Danone #3727,Plat Cuisiné Lasagnes Bio #170,72.7,9.7,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #170 (MDD) à l'achat de Pain de Mie Bio Danone #3727
XSELL-0340,322621974316,332752768245,Fromage Fondu Danone #2254,Plat Cuisiné Lasagnes Bio #3992,90.0,7.9,Offre Duo : -30% sur Plat Cuisiné Lasagnes Bio #3992 (MDD) à l'achat de Fromage Fondu Danone #2254
XSELL-0341,320741879021,348682052389,Plat Cuisiné Lasagnes Repère #3381,Céréales Gourmandes Repère #2900,68.3,8.9,Offre Duo : -30% sur Céréales Gourmandes Repère #2900 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #3381
XSELL-0342,387600985342,387250418390,Fromage Fondu Danone #2796,Yaourt Fraise Repère #4435,87.4,9.3,Offre Duo : -30% sur Yaourt Fraise Repère #4435 (MDD) à l'achat de Fromage Fondu Danone #2796
XSELL-0343,341585461313,346828007419,Sauce Tomate Basilic Danone #544,Pâte à Tartiner Bio #2476,67.8,13.0,Offre Duo : -30% sur Pâte à Tartiner Bio #2476 (MDD) à l'achat de Sauce Tomate Basilic Danone #544
XSELL-0344,384902595589,341084509946,Biscuits Chocolat Repère #1579,Yaourt Fraise Gourmet #2519,65.2,10.5,Offre Duo : -30% sur Yaourt Fraise Gourmet #2519 (MDD) à l'achat de Biscuits Chocolat Repère #1579
XSELL-0345,321039255351,393659942755,Plat Cuisiné Lasagnes Nestlé #3100,Sauce Tomate Basilic Bio #1791,74.7,5.6,Offre Duo : -30% sur Sauce Tomate Basilic Bio #1791 (MDD) à l'achat de Plat Cuisiné Lasagnes Nestlé #3100
XSELL-0346,392424359079,323936758216,Jus d'Orange Pur Jus Repère #4376,Yaourt Fraise Gourmet #2577,73.2,8.2,Offre Duo : -30% sur Yaourt Fraise Gourmet #2577 (MDD) à l'achat de Jus d'Orange Pur Jus Repère #4376
XSELL-0347,375298330196,361283441394,Plat Cuisiné Lasagnes Repère #3892,Jambon Supérieur Gourmet #3723,83.3,12.1,Offre Duo : -30% sur Jambon Supérieur Gourmet #3723 (MDD) à l'achat de Plat Cuisiné Lasagnes Repère #3892
XSELL-0348,380707746269,363185558426,Sauce Tomate Basilic Repère #72,Biscuits Chocolat Bio #2274,82.1,11.6,Offre Duo : -30% sur Biscuits Chocolat Bio #2274 (MDD) à l'achat de Sauce Tomate Basilic Repère #72
XSELL-0349,359530119683,318394352076,Yaourt Fraise Nestlé #2220,Jus d'Orange Pur Jus Bio #4310,86.9,5.2,Offre Duo : -30% sur Jus d'Orange Pur Jus Bio #4310 (MDD) à l'achat de Yaourt Fraise Nestlé #2220
